,yyyymmdd,NO$_2$/CO,Fire Name,Mean HWP,Mean HWP Bin,NO$_2$/CO + min
191,20210819T200436,7.653349592959151e-05,McFarland,38.289177365,"[38.0, 45.0)",0.0005765334959295915
192,20210820T194529,3.273891656229801e-05,McFarland,16.7041112,"[15.0, 22.0)",0.000532738916562298
193,20210821T210752,6.940666955021794e-05,McFarland,16.76726537,"[15.0, 22.0)",0.000569406669550218
194,20210822T204845,0.0001399599619988593,McFarland,14.79356897,"[8.0, 15.0)",0.0006399599619988593
195,20210823T202937,0.0006547314967785853,McFarland,19.880808039999998,"[15.0, 22.0)",0.0011547314967785853
196,20210825T195123,0.001023426291546803,McFarland,19.83181408,"[15.0, 22.0)",0.001523426291546803
197,20210826T193215,6.987437600821727e-05,McFarland,21.84296711,"[15.0, 22.0)",0.0005698743760082172
198,20210826T211345,0.0001713686751191222,McFarland,21.84296711,"[15.0, 22.0)",0.0006713686751191222
199,20210827T205437,0.0001421007641114053,McFarland,23.587551965,"[22.0, 30.0)",0.0006421007641114053
200,20210801T204403,0.002694676595857301,Monument,51.701764665,"[45.0, 52.0)",0.003194676595857301
201,20210802T202458,0.001904527613281267,Monument,41.732136215000004,"[38.0, 45.0)",0.002404527613281267
202,20210805T210909,0.0002355174985109704,Monument,26.596390774999996,"[22.0, 30.0)",0.0007355174985109704
203,20210806T205003,0.0003522896784063278,Monument,28.230623825,"[22.0, 30.0)",0.0008522896784063279
204,20210807T203057,0.0001410656349393204,Monument,27.03244757,"[22.0, 30.0)",0.0006410656349393204
205,20210808T201151,0.0004766185895991367,Monument,22.69446356,"[22.0, 30.0)",0.0009766185895991367
206,20210809T195244,0.0003489319903076201,Monument,17.70241338,"[15.0, 22.0)",0.0008489319903076201
207,20210810T211507,0.00022551564518894,Monument,27.365608905,"[22.0, 30.0)",0.00072551564518894
208,20210810T193338,0.0002179225624608273,Monument,27.365608905,"[22.0, 30.0)",0.0007179225624608273
209,20210811T205601,0.0001282643108750767,Monument,25.749211155,"[22.0, 30.0)",0.0006282643108750767
210,20210812T203654,0.0005153990021686765,Monument,26.809834980000012,"[22.0, 30.0)",0.0010153990021686764
211,20210813T201748,0.0001366044112453097,Monument,17.587483265,"[15.0, 22.0)",0.0006366044112453098
212,20210814T195841,0.0001861827393427457,Monument,17.8063197,"[15.0, 22.0)",0.0006861827393427457
213,20210815T193934,0.000383686044997179,Monument,37.229276275000004,"[30.0, 38.0)",0.000883686044997179
214,20210816T192028,0.0005027827643518663,Monument,48.472904885000005,"[45.0, 52.0)",0.0010027827643518663
215,20210816T210157,0.0005188262895539081,Monument,48.472904885000005,"[45.0, 52.0)",0.0010188262895539082
216,20210817T204250,0.000722376705544266,Monument,44.04575585,"[38.0, 45.0)",0.001222376705544266
217,20210818T202343,0.0007389751959966536,Monument,47.345816005,"[45.0, 52.0)",0.0012389751959966536
218,20210819T200436,9.547077448068705e-05,Monument,45.185905605,"[45.0, 52.0)",0.0005954707744806871
219,20210820T194529,5.026430323725129e-05,Monument,22.849798765,"[22.0, 30.0)",0.0005502643032372514
220,20210821T210752,9.769703258075335e-05,Monument,26.774146615,"[22.0, 30.0)",0.0005976970325807533
221,20210822T204845,0.0001711224997496745,Monument,17.94784747,"[15.0, 22.0)",0.0006711224997496745
222,20210823T202937,0.0004079135345541627,Monument,22.430987575,"[22.0, 30.0)",0.0009079135345541626
223,20210825T195123,0.0007431255966953117,Monument,23.29021864,"[22.0, 30.0)",0.0012431255966953117
224,20210826T211345,0.0002286716967419738,Monument,38.390110390000004,"[38.0, 45.0)",0.0007286716967419738
225,20210826T193215,8.71254544942692e-05,Monument,38.390110390000004,"[38.0, 45.0)",0.0005871254544942692
226,20210827T205437,0.0003754091443951532,Monument,37.1857061,"[30.0, 38.0)",0.0008754091443951532
227,20210829T201622,0.0008889175043001737,Monument,36.123155530000005,"[30.0, 38.0)",0.0013889175043001736
