yyyymmdd,yyyy-mm-dd,year,month,day,hour,minute,second,julfrac,Latitude,Longitude,Static_Pressure,MSL_GPS_Altitude,CO_DACOM
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,15.0,42222.95989583333,47.923036,-116.472587,411.38,7313.0,99.63
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,16.0,42222.95990740741,47.923255,-116.474741,411.01,7320.0,100.18
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,17.0,42222.95991898148,47.923479,-116.476896,410.64,7326.0,99.85
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,18.0,42222.95993055555,47.923707,-116.479051,410.28,7332.0,100.07
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,19.0,42222.95994212963,47.923939,-116.481208,409.93,7338.0,100.35
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,20.0,42222.95995370371,47.924173,-116.483366,409.62,7344.0,99.89
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,21.0,42222.959965277776,47.924408,-116.485526,409.3,7349.0,100.34
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,22.0,42222.95997685185,47.924644,-116.487688,409.0,7355.0,100.61
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,23.0,42222.95998842592,47.924881,-116.489852,408.74,7359.0,100.31
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,24.0,42222.96,47.925117,-116.492018,408.46,7364.0,101.04
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,25.0,42222.96001157408,47.925353,-116.494187,408.16,7369.0,100.4
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,26.0,42222.96002314815,47.925589,-116.496357,407.88,7374.0,99.52
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,27.0,42222.96003472222,47.925825,-116.498528,407.6,7380.0,99.9
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,28.0,42222.9600462963,47.926061,-116.500702,407.32,7385.0,99.56
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,29.0,42222.96005787037,47.926296,-116.502877,407.02,7390.0,98.34
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,30.0,42222.960069444445,47.926532,-116.505054,406.71,7396.0,99.2
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,31.0,42222.96008101852,47.926768,-116.507233,406.41,7402.0,100.75
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,32.0,42222.96009259259,47.927004,-116.509413,406.11,7407.0,98.82
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,33.0,42222.96010416667,47.927242,-116.511595,405.8,7413.0,96.41
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,34.0,42222.96011574074,47.927482,-116.513777,405.47,7419.0,90.61
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,35.0,42222.960127314815,47.927722,-116.515961,405.15,7425.0,86.61
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,36.0,42222.96013888889,47.92796,-116.518147,404.8,7431.0,86.36
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,37.0,42222.96015046296,47.928193,-116.520336,404.49,7437.0,90.23
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,38.0,42222.96016203704,47.928419,-116.522529,404.18,7443.0,90.64
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,39.0,42222.96017361112,47.928637,-116.524726,403.92,7448.0,90.66
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,40.0,42222.960185185184,47.92885,-116.526928,403.71,7452.0,91.68
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,41.0,42222.96019675926,47.929056,-116.529135,403.46,7455.0,92.59
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,42.0,42222.96020833333,47.929254,-116.531347,403.29,7458.0,94.88
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,43.0,42222.96021990741,47.929443,-116.533564,403.15,7461.0,95.8
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,44.0,42222.96023148149,47.929622,-116.535787,402.93,7464.0,95.29
