yyyymmdd,yyyy-mm-dd,year,month,day,hour,minute,second,julfrac,Latitude,Longitude,Static_Pressure,MSL_GPS_Altitude,NO2_CL
20190807,2019-08-07,2019.0,8.0,7.0,23.0,3.0,36.0,42222.96083333333,47.934858,-116.655628,394.41,7620.0,0.01669
20190807,2019-08-07,2019.0,8.0,7.0,23.0,3.0,37.0,42222.96084490741,47.934818,-116.658027,394.27,7623.0,0.02116
20190807,2019-08-07,2019.0,8.0,7.0,23.0,3.0,38.0,42222.960856481484,47.934779,-116.660428,394.15,7625.0,0.04644
20190807,2019-08-07,2019.0,8.0,7.0,23.0,3.0,39.0,42222.960868055554,47.93474,-116.662831,394.02,7628.0,0.0433
20190807,2019-08-07,2019.0,8.0,7.0,23.0,3.0,40.0,42222.96087962963,47.9347,-116.665237,393.86,7631.0,0.08204
20190807,2019-08-07,2019.0,8.0,7.0,23.0,3.0,41.0,42222.9608912037,47.934661,-116.667646,393.71,7634.0,-9e-05
20190807,2019-08-07,2019.0,8.0,7.0,23.0,3.0,42.0,42222.96090277778,47.934621,-116.670057,393.56,7637.0,0.0164
20190807,2019-08-07,2019.0,8.0,7.0,23.0,3.0,43.0,42222.960914351854,47.934581,-116.67247,393.4,7640.0,0.06962
20190807,2019-08-07,2019.0,8.0,7.0,23.0,3.0,44.0,42222.96092592592,47.934541,-116.674886,393.22,7642.0,0.04712
20190807,2019-08-07,2019.0,8.0,7.0,23.0,3.0,45.0,42222.9609375,47.934499,-116.677304,393.1,7644.0,-0.06497
20190807,2019-08-07,2019.0,8.0,7.0,23.0,3.0,46.0,42222.96094907408,47.934457,-116.679724,393.01,7645.0,0.03212
20190807,2019-08-07,2019.0,8.0,7.0,23.0,3.0,47.0,42222.96096064815,47.934412,-116.682146,392.98,7646.0,-0.00598
20190807,2019-08-07,2019.0,8.0,7.0,23.0,3.0,48.0,42222.96097222222,47.934366,-116.684569,392.94,7646.0,0.02167
20190807,2019-08-07,2019.0,8.0,7.0,23.0,3.0,49.0,42222.9609837963,47.934318,-116.686995,392.94,7646.0,-0.00622
20190807,2019-08-07,2019.0,8.0,7.0,23.0,3.0,50.0,42222.96099537037,47.934269,-116.689423,392.93,7645.0,0.03602
20190807,2019-08-07,2019.0,8.0,7.0,23.0,4.0,26.0,42222.96141203704,47.933702,-116.777923,393.35,7640.0,0.01089
20190807,2019-08-07,2019.0,8.0,7.0,23.0,4.0,27.0,42222.96142361111,47.933733,-116.780377,393.37,7640.0,0.02822
20190807,2019-08-07,2019.0,8.0,7.0,23.0,4.0,28.0,42222.96143518519,47.933765,-116.78283,393.37,7639.0,-0.00403
20190807,2019-08-07,2019.0,8.0,7.0,23.0,4.0,29.0,42222.96144675926,47.933796,-116.785281,393.39,7639.0,-0.00384
20190807,2019-08-07,2019.0,8.0,7.0,23.0,5.0,47.0,42222.96234953704,47.937623,-116.971932,393.69,7633.0,0.02388
20190807,2019-08-07,2019.0,8.0,7.0,23.0,5.0,48.0,42222.96236111111,47.937818,-116.974261,393.69,7633.0,0.03591
20190807,2019-08-07,2019.0,8.0,7.0,23.0,5.0,49.0,42222.96237268519,47.938012,-116.97659,393.68,7633.0,0.04087
20190807,2019-08-07,2019.0,8.0,7.0,23.0,5.0,50.0,42222.96238425926,47.938204,-116.978895,393.66,7632.0,0.01836
20190807,2019-08-07,2019.0,8.0,7.0,23.0,5.0,51.0,42222.96239583333,47.938398,-116.981246,393.64,7632.0,-0.00793
20190807,2019-08-07,2019.0,8.0,7.0,23.0,5.0,52.0,42222.96240740741,47.93859,-116.983573,393.66,7631.0,-0.04496
20190807,2019-08-07,2019.0,8.0,7.0,23.0,5.0,53.0,42222.96241898148,47.938781,-116.9859,393.69,7631.0,0.03762
20190807,2019-08-07,2019.0,8.0,7.0,23.0,5.0,54.0,42222.96243055556,47.938972,-116.988227,393.69,7630.0,0.02885
20190807,2019-08-07,2019.0,8.0,7.0,23.0,5.0,55.0,42222.96244212963,47.939163,-116.990554,393.71,7630.0,0.05309
20190807,2019-08-07,2019.0,8.0,7.0,23.0,5.0,56.0,42222.9624537037,47.939353,-116.992856,393.74,7630.0,0.03453
20190807,2019-08-07,2019.0,8.0,7.0,23.0,5.0,57.0,42222.96246527778,47.939551,-116.995204,393.78,7629.0,0.00321
20190807,2019-08-07,2019.0,8.0,7.0,23.0,5.0,58.0,42222.962476851855,47.939751,-116.997528,393.81,7629.0,0.00998
20190807,2019-08-07,2019.0,8.0,7.0,23.0,5.0,59.0,42222.962488425925,47.939956,-116.999851,393.83,7628.0,-0.00094
20190807,2019-08-07,2019.0,8.0,7.0,23.0,6.0,0.0,42222.9625,47.940165,-117.002172,393.86,7628.0,0.02337
20190807,2019-08-07,2019.0,8.0,7.0,23.0,6.0,1.0,42222.96251157407,47.940379,-117.004492,393.88,7628.0,0.0542
